 ,Label,Area,Min,Max,Feret,Median,FeretX,FeretY,FeretAngle,MinFeret
1,faps-ORO-petite-boite_champ02-analyse.tif:0001-0010,4.53,81,125,3.26,101,1504,1,116.57,2.02
2,faps-ORO-petite-boite_champ02-analyse.tif:0002-0003,0.55,79,117,0.94,100,3403,1,120.96,0.81
3,faps-ORO-petite-boite_champ02-analyse.tif:0003-0021,28.38,81,185,6.77,126,279,34,40.16,5.36
4,faps-ORO-petite-boite_champ02-analyse.tif:0004-0012,6.86,85,128,3.90,99,2019,2,131.63,2.84
5,faps-ORO-petite-boite_champ02-analyse.tif:0005-0009,3.40,82,120,3.11,96,3514,11,27.90,1.88
6,faps-ORO-petite-boite_champ02-analyse.tif:0006-0021,14.01,82,215,5.88,120,2659,3,97.91,3.56
7,faps-ORO-petite-boite_champ02-analyse.tif:0007-0029,36.08,80,183,8.60,116,3135,55,78.06,7.18
8,faps-ORO-petite-boite_champ02-analyse.tif:0008-0006,1.10,87,141,1.39,105,3815,9,35.54,1.13
9,faps-ORO-petite-boite_champ02-analyse.tif:0009-0006,0.50,86,108,1.04,97,470,4,128.66,0.80
10,faps-ORO-petite-boite_champ02-analyse.tif:0010-0015,8.27,82,160,4.05,101,874,18,16.26,3.07
11,faps-ORO-petite-boite_champ02-analyse.tif:0011-0009,2.36,83,147,2.56,102,1270,5,145.30,1.60
12,faps-ORO-petite-boite_champ02-analyse.tif:0012-0018,9.19,79,167,4.54,113,1363,4,94.09,3.50
13,faps-ORO-petite-boite_champ02-analyse.tif:0013-0014,5.24,83,153,3.64,107,1910,25,69.15,2.42
14,faps-ORO-petite-boite_champ02-analyse.tif:0014-0010,1.91,86,110,1.98,94,101,14,34.99,1.37
15,faps-ORO-petite-boite_champ02-analyse.tif:0015-0007,0.47,86,97,0.94,91,1483,5,120.96,0.80
16,faps-ORO-petite-boite_champ02-analyse.tif:0016-0009,2.02,83,150,2.17,112,2366,12,26.57,1.45
17,faps-ORO-petite-boite_champ02-analyse.tif:0017-0008,1.13,78,110,1.75,95,2892,6,146.31,1.09
18,faps-ORO-petite-boite_champ02-analyse.tif:0018-0013,3.69,83,151,2.75,119,442,6,118.07,1.78
19,faps-ORO-petite-boite_champ02-analyse.tif:0019-0018,8.20,81,125,4.31,97,1493,6,124.29,3.51
20,faps-ORO-petite-boite_champ02-analyse.tif:0020-0021,9.16,82,125,4.98,99,3101,36,76.87,3.40
21,faps-ORO-petite-boite_champ02-analyse.tif:0021-0011,2.78,81,136,2.77,109,3604,7,159.44,1.42
22,faps-ORO-petite-boite_champ02-analyse.tif:0022-0012,1.62,84,111,1.89,96,3696,18,70.02,1.46
23,faps-ORO-petite-boite_champ02-analyse.tif:0023-0017,8.51,80,196,4.42,129,2948,11,151.56,3.06
24,faps-ORO-petite-boite_champ02-analyse.tif:0024-0025,21.81,83,177,6.33,126,3056,10,147.53,4.96
25,faps-ORO-petite-boite_champ02-analyse.tif:0025-0011,0.60,87,105,1.04,95,2628,9,128.66,0.81
26,faps-ORO-petite-boite_champ02-analyse.tif:0026-0011,0.47,85,96,1.04,92,3344,9,141.34,0.65
27,faps-ORO-petite-boite_champ02-analyse.tif:0027-0024,10.19,83,146,5.07,117,3539,9,106.70,3.01
28,faps-ORO-petite-boite_champ02-analyse.tif:0028-0021,9.66,83,125,4.25,102,704,33,49.64,3.39
29,faps-ORO-petite-boite_champ02-analyse.tif:0029-0016,4.40,83,197,2.88,130,1081,10,141.84,2.10
30,faps-ORO-petite-boite_champ02-analyse.tif:0030-0012,0.42,85,98,1.04,94,2071,15,51.34,0.65
31,faps-ORO-petite-boite_champ02-analyse.tif:0031-0029,24.61,84,187,6.20,138,3256,46,40.76,5.32
32,faps-ORO-petite-boite_champ02-analyse.tif:0032-0020,6.39,83,167,3.92,118,3802,11,141.71,2.44
33,faps-ORO-petite-boite_champ02-analyse.tif:0033-0025,9.01,82,194,4.56,128,2617,13,117.47,2.75
34,faps-ORO-petite-boite_champ02-analyse.tif:0034-0016,0.50,86,99,1.04,94,3326,19,38.66,0.80
35,faps-ORO-petite-boite_champ02-analyse.tif:0035-0019,1.02,84,97,1.49,91,693,22,40.60,1.03
36,faps-ORO-petite-boite_champ02-analyse.tif:0036-0039,39.62,80,222,8.34,128,1241,15,108.08,6.74
37,faps-ORO-petite-boite_champ02-analyse.tif:0037-0021,4.50,80,172,3.85,101,2973,15,157.75,1.90
38,faps-ORO-petite-boite_champ02-analyse.tif:0038-0018,1.07,86,122,1.49,102,3470,22,40.60,1.13
39,faps-ORO-petite-boite_champ02-analyse.tif:0039-0019,0.65,86,107,1.09,96,554,22,63.43,0.81
40,faps-ORO-petite-boite_champ02-analyse.tif:0040-0022,2.12,81,124,2.39,98,1056,16,118.30,1.52
41,faps-ORO-petite-boite_champ02-analyse.tif:0041-0019,0.58,83,105,1.09,94,1279,16,116.57,0.81
42,faps-ORO-petite-boite_champ02-analyse.tif:0042-0021,0.58,87,105,1.26,95,3228,24,39.81,0.69
43,faps-ORO-petite-boite_champ02-analyse.tif:0043-0031,10.63,81,144,4.83,98,358,43,50.44,3.23
44,faps-ORO-petite-boite_champ02-analyse.tif:0044-0030,10.11,80,184,4.87,109,2933,30,164.58,3.25
45,faps-ORO-petite-boite_champ02-analyse.tif:0045-0042,34.85,84,203,7.56,134,1617,44,170.13,6.80
46,faps-ORO-petite-boite_champ02-analyse.tif:0046-0028,3.67,86,158,2.63,110,1671,20,100.62,2.00
47,faps-ORO-petite-boite_champ02-analyse.tif:0047-0028,4.35,75,148,3.21,115,437,34,40.91,1.95
48,faps-ORO-petite-boite_champ02-analyse.tif:0048-0042,46.50,84,193,8.92,152,1509,48,11.51,6.96
49,faps-ORO-petite-boite_champ02-analyse.tif:0049-0022,0.26,91,97,0.72,95,2542,22,153.43,0.49
50,faps-ORO-petite-boite_champ02-analyse.tif:0050-0029,5.08,83,194,2.97,122,2759,37,60.64,2.46
51,faps-ORO-petite-boite_champ02-analyse.tif:0051-0023,0.42,85,97,0.94,91,2933,26,59.04,0.65
52,faps-ORO-petite-boite_champ02-analyse.tif:0052-0042,21.16,80,178,6.88,105,508,63,60.42,5.02
53,faps-ORO-petite-boite_champ02-analyse.tif:0053-0031,5.50,82,149,3.24,100,1862,23,126.87,2.38
54,faps-ORO-petite-boite_champ02-analyse.tif:0054-0035,6.91,83,165,4.13,116,2789,23,101.31,2.28
55,faps-ORO-petite-boite_champ02-analyse.tif:0055-0026,0.31,90,95,0.81,93,1265,24,126.87,0.49
56,faps-ORO-petite-boite_champ02-analyse.tif:0056-0025,0.29,90,103,0.81,97,2281,24,143.13,0.49
57,faps-ORO-petite-boite_champ02-analyse.tif:0057-0035,10.16,83,197,4.28,123,531,43,29.48,3.40
58,faps-ORO-petite-boite_champ02-analyse.tif:0058-0033,5.13,82,145,3.79,111,2631,25,140.19,2.49
59,faps-ORO-petite-boite_champ02-analyse.tif:0059-0029,1.20,86,108,1.89,94,3331,26,149.04,0.99
